discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type
Alpine Skiing,Women's Giant Slalom,beijing-2022,Athlete,,,False,46,Peru,PE,PER,https://olympics.com/en/athletes/ornella-oettl-reyes,Ornella OETTL REYES,2:24.05,TIME
Alpine Skiing,Women's Slalom,beijing-2022,Athlete,,,False,44,Peru,PE,PER,https://olympics.com/en/athletes/ornella-oettl-reyes,Ornella OETTL REYES,2:04.59,TIME
Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,18,Peru,PE,PER,https://olympics.com/en/athletes/marko-carrillo,Marko CARRILLO,,
Shooting,Trap Men,tokyo-2020,Athlete,,,False,27,Peru,PE,PER,https://olympics.com/en/athletes/alessandro-de-souza-ferreira,Alessandro DE SOUZA FERREIRA,,
Shooting,10m Air Pistol Men,tokyo-2020,Athlete,,,False,29,Peru,PE,PER,https://olympics.com/en/athletes/marko-carrillo,Marko CARRILLO,,
Shooting,Skeet Men,tokyo-2020,Athlete,,,False,8,Peru,PE,PER,https://olympics.com/en/athletes/nicolas-pacheco-espinosa,Nicolas PACHECO ESPINOSA,,
Cycling Road,Men's Road Race,tokyo-2020,Athlete,,,False,DNF,Peru,PE,PER,https://olympics.com/en/athletes/royner-navarro-calle,Royner NAVARRO CALLE,,IRM
Boxing,Men's Heavy (81-91kg),tokyo-2020,Athlete,,,True,9,Peru,PE,PER,https://olympics.com/en/athletes/jose-maria-lucar-jaimes,Jose Maria LUCAR JAIMES,,
Boxing,Men's Light (57-63kg),tokyo-2020,Athlete,,,True,17,Peru,PE,PER,https://olympics.com/en/athletes/leodan-pezo-saboya,Leodan PEZO SABOYA,,
Surfing,Women,tokyo-2020,Athlete,,,True,9,Peru,PE,PER,https://olympics.com/en/athletes/sofia-mulanovich-x8184,Sofia MULANOVICH,,
Surfing,Women,tokyo-2020,Athlete,,,True,19,Peru,PE,PER,https://olympics.com/en/athletes/daniella-rosas,Daniella ROSAS,,
Fencing,Women's Épée Individual,tokyo-2020,Athlete,,,False,28,Peru,PE,PER,https://olympics.com/en/athletes/maria-luisa-doig,Maria Luisa DOIG,,
Badminton,Women's Singles,tokyo-2020,Athlete,,,True,15,Peru,PE,PER,https://olympics.com/en/athletes/daniela-macias,Daniela MACIAS,,
Wrestling,Men's Freestyle 86kg,tokyo-2020,Athlete,,,False,15,Peru,PE,PER,https://olympics.com/en/athletes/pool-edinson-ambrocio-greifo,Pool Edinson AMBROCIO GREIFO,,
Tennis,Men's Singles,tokyo-2020,Athlete,,,True,33,Peru,PE,PER,https://olympics.com/en/athletes/juan-pablo-varillas,Juan Pablo VARILLAS,,
Judo,Men -66 kg,tokyo-2020,Athlete,,,True,17,Peru,PE,PER,https://olympics.com/en/athletes/juan-postigos,Juan POSTIGOS,,
Skateboarding,Men's Street,tokyo-2020,Athlete,,,False,5,Peru,PE,PER,https://olympics.com/en/athletes/angelo-caro-narvaez,Angelo CARO NARVAEZ,32.87,POINTS
Weightlifting,Men's 61kg,tokyo-2020,Athlete,,,False,12,Peru,PE,PER,https://olympics.com/en/athletes/marcos-antonio-rojas-concha,Marcos Antonio ROJAS CONCHA,240,WEIGHT
Athletics,Men's Marathon,tokyo-2020,Athlete,,,False,60,Peru,PE,PER,https://olympics.com/en/athletes/cristhian-pacheco,Cristhian PACHECO,,
Athletics,Women's Marathon,tokyo-2020,Athlete,,,False,40,Peru,PE,PER,https://olympics.com/en/athletes/jovana-de-la-cruz,Jovana DE LA CRUZ,,
Athletics,Women's Marathon,tokyo-2020,Athlete,,,False,27,Peru,PE,PER,https://olympics.com/en/athletes/gladys-tejeda,Gladys TEJEDA,,
Athletics,Women's 20km Race Walk,tokyo-2020,Athlete,,,False,DNF,Peru,PE,PER,https://olympics.com/en/athletes/kimberly-garcia,Kimberly GARCIA,,IRM
Athletics,Women's 20km Race Walk,tokyo-2020,Athlete,,,False,24,Peru,PE,PER,https://olympics.com/en/athletes/mary-luz-andia,Mary Luz ANDIA,,
